date,runtype,distance,duration,pace,elevation,calories,hr,eventtype
2020-05-02,running,7.3,2517.27,5.78,50.0,522.0,147.0,uncategorized
2020-05-04,running,7.26,2427.23,5.59,46.0,500.0,149.0,uncategorized
2020-05-05,running,7.28,2497.89,5.73,51.0,477.0,141.0,uncategorized
2020-05-07,running,7.25,2435.46,5.62,60.0,514.0,148.0,uncategorized
2020-05-09,running,7.33,2400.54,5.48,53.0,526.0,151.0,uncategorized
2020-05-12,running,7.28,2358.56,5.43,50.0,503.0,149.0,uncategorized
2020-05-13,running,7.26,2320.22,5.36,57.0,524.0,154.0,uncategorized
2020-05-15,running,10.58,3856.41,6.09,77.0,708.0,140.0,uncategorized
2020-07-28,running,7.26,2449.8,5.66,61.0,519.0,153.0,uncategorized
2020-07-30,running,8.01,2795.82,5.85,40.0,587.0,152.0,uncategorized
2020-07-31,running,8.01,2757.4,5.77,64.0,565.0,150.0,uncategorized
2020-08-03,running,8.06,2712.73,5.65,57.0,578.0,154.0,uncategorized
2020-08-04,running,8.01,2733.36,5.72,67.0,582.0,153.0,uncategorized
2020-08-06,running,8.01,2698.89,5.65,61.0,593.0,154.0,uncategorized
2020-08-10,running,8.01,2698.53,5.64,73.0,554.0,147.0,uncategorized
2020-08-12,running,8.02,2639.75,5.51,77.0,560.0,151.0,uncategorized
2020-08-14,running,10.64,3603.05,5.67,92.0,777.0,152.0,uncategorized
2020-08-17,running,8.07,2758.62,5.72,73.0,604.0,156.0,uncategorized
2020-08-19,running,10.11,3339.19,5.52,84.0,719.0,152.0,uncategorized
2020-08-21,running,7.16,2540.18,5.93,64.0,538.0,150.0,uncategorized
2020-08-24,running,8.03,2781.59,5.8,76.0,593.0,154.0,uncategorized
2020-08-27,running,7.5,2641.34,5.89,52.0,559.0,151.0,uncategorized
2020-09-01,running,7.26,2508.22,5.78,66.0,549.0,154.0,uncategorized
2020-09-03,running,7.27,2544.49,5.85,56.0,552.0,154.0,uncategorized
2020-09-05,running,7.26,2503.38,5.77,47.0,559.0,157.0,uncategorized
2020-09-10,treadmill_running,7.23,2514.71,5.81,0,527.0,148.0,uncategorized
2020-09-11,treadmill_running,7.27,2515.17,5.81,0,554.0,153.0,uncategorized
2020-09-12,treadmill_running,7.29,2512.67,5.77,0,553.0,153.0,uncategorized
2020-09-14,treadmill_running,10.01,3534.77,5.9,0,740.0,148.0,uncategorized
2020-09-15,treadmill_running,7.38,2518.95,5.7,0,466.0,138.0,uncategorized
2020-09-16,treadmill_running,7.37,2519.45,5.71,0,468.0,137.0,uncategorized
2020-09-17,treadmill_running,5.31,1799.43,5.66,0,350.0,141.0,uncategorized
2020-09-19,treadmill_running,7.28,2521.17,5.78,0,487.0,141.0,uncategorized
2020-09-20,treadmill_running,6.01,2058.82,5.74,0,374.0,135.0,uncategorized
2020-09-21,treadmill_running,7.51,2533.93,5.64,0,470.0,141.0,uncategorized
